=============================== Events ===============================

NUM  | NAME                   | TYPE     |
-----+------------------------+----------+
  0  | Enabled                | Channel  | Channel Enabled
  1  | NoteOn                 |          |
  2  | Vol                    |          |
  3  | Pan                    |          |
  4  | MIDIChan               |          |
  5  | MIDINote               |          |
  6  | MIDIPatch              |          |
  7  | MIDIBank               |          |
  8  |                        |          |
  9  | LoopActive             | Project  |
 10  | ShowInfo               | Project  |
 11  | Shuffle                | Project  |
 12  | MainVol                |          |
 13  | Stretch                |          |
 14  | Pitchable              |          |
 15  | Zipped                 |          |
 16  | Delay_Flags            |          |
 17  | Numerator              | Project  |
 18  | Denominator            | Project  |
 19  | UseLoopPoints          |          |
 20  | LoopType               | Channel  |
 21  | ChanType               | Channel  | Channel Type
 22  | MixSliceNum            | Channel  | FX Channel Number
 23  | PanVolumeTab           | Project  |
 24  | NStepsShown            |          |
 25  | SSLength               |          |
 26  | SSLoop                 |          |
 27  | FXProps                |          |
 28  | Registered             | Project  |
 29  | APDC                   |          |
 30  | TruncateClipNotes      | Project  |
 31  | EEAutoMode             |          |
 32  |                        |          |
 33  | TimeMarkerNumerator    | Arrangem | TimeMarker Numerator
 34  | TimeMarkerDenominator  | Arrangem | TimeMarker Denominator
 35  |                        |          |
 36  |                        |          |
 37  |                        |          |
 38  |                        |          |
 39  |                        |          |
 40  |                        |          |
 41  |                        |          |
 42  |                        |          |
 43  |                        |          |
 44  | Automatic_Crossfades   | Project  |
 45  |                        |          |
 46  |                        |          |
 47  |                        |          |
 48  |                        |          |
 49  |                        |          |
 50  |                        |          |
 51  |                        |          |
 52  |                        |          |
 53  |                        |          |
 54  |                        |          |
 55  |                        |          |
 56  |                        |          |
 57  |                        |          |
 58  |                        |          |
 59  |                        |          |
 60  |                        |          |
 61  |                        |          |
 62  |                        |          |
 63  |                        |          |
 64  | NewChan                | Channel  | Define Channel Number
 65  | NewPat                 | Pattern  | Define Pattern Number
 66  | Tempo                  | Project  |
 67  | CurrentPatNum          | Project  |
 68  | PatData                |          |
 69  | FX                     | Channel  |
 70  | Fade_Stereo            | Channel  |
 71  | CutOff                 | Channel  |
 72  | DotVol                 |          |
 73  | DotPan                 |          |
 74  | PreAmp                 | Channel  |
 75  | Decay                  | Channel  |
 76  | Attack                 | Channel  |
 77  | DotNote                |          |
 78  | DotPitch               |          |
 79  | DotMix                 |          |
 80  | MainPitch              | Project  |
 81  | RandChan               |          |
 82  | MixChan                |          |
 83  | Resonance              |          |
 84  | OldSongLoopPos         |          |
 85  | StDel                  | Channel  |
 86  | FX3                    | Channel  |
 87  | DotReso                |          |
 88  | DotCutOff              |          |
 89  | ShiftDelay             | Channel  |
 90  | LoopEndBar             |          |
 91  | Dot                    |          |
 92  | DotShift               |          |
 93  | TempoFine              |          |
 94  | LayerChan              | Channel  |
 95  | FXIcon                 | Mixer    | 
 96  |                        |          |
 97  |                        |          |
 98  | FXToSlotNum            | Mixer    | Add Plugin to FX Slot Number
 99  | NewArrangement         |          |
100  | CurrentArrangementNum  | Arrangem | Arrangement Number
101  |                        |          |
102  |                        |          |
103  |                        |          |
104  |                        |          |
105  |                        |          |
106  |                        |          |
107  |                        |          |
108  |                        |          |
109  |                        |          |
110  |                        |          |
111  |                        |          |
112  |                        |          |
113  |                        |          |
114  |                        |          |
115  |                        |          |
116  |                        |          |
117  |                        |          |
118  |                        |          |
